"PDF-Dokument";"application/pdf";"pdf"
"Word-Dokument";"application/msword";"doc,docx"
"Word-Dokument (.docx)";"application/vnd.openxmlformats-officedocument.wordprocessingml.document";"docx"
"OpenDocument Text (.odt)";"application/vnd.oasis.opendocument.text";"odt"
"Excel-Tabelle";"application/vnd.ms-excel";"xls,xlsx"
"Excel-Tabelle (.xlsx)";"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet";"xlsx"
"OpenDocument Tabelle (.ods)";"application/vnd.oasis.opendocument.spreadsheet";"ods"
"PowerPoint-Präsentation";"application/vnd.ms-powerpoint";"ppt,pptx"
"PowerPoint-Präsentation (.pptx)";"application/vnd.openxmlformats-officedocument.presentationml.presentation";"pptx"
"OpenDocument Präsentation (.odp)";"application/vnd.oasis.opendocument.presentation";"odp"
"Textdatei (.txt)";"text/plain";"txt"
"RTF-Dokument";"text/rtf";"rtf"
"JPEG-Bild";"image/jpeg";"jpg,jpeg"
"PNG-Bild";"image/png";"png"
"GIF-Bild";"image/gif";"gif"
"WebP-Bild";"image/webp";"webp"
"SVG-Grafik";"image/svg+xml";"svg"
"Bitmap-Bild";"image/bmp";"bmp"
"TIFF-Bild";"image/tiff";"tif,tiff"
"HEIF-Bild";"image/heif";"heif"
"HEIC-Bild";"image/heic";"heic"
"MP3-Audiodatei";"audio/mpeg";"mp3"
"OGG-Audiodatei";"audio/ogg";"ogg"
"WAV-Audiodatei";"audio/wav";"wav"
"FLAC-Audiodatei";"audio/flac";"flac"
"AAC-Audiodatei";"audio/aac";"aac"
"M4A-Audiodatei";"audio/x-m4a";"m4a"
"MP4-Videodatei";"video/mp4";"mp4"
"AVI-Videodatei";"video/x-msvideo";"avi"
"MOV-Videodatei";"video/quicktime";"mov"
"WebM-Videodatei";"video/webm";"webm"
"MKV-Videodatei";"video/x-matroska";"mkv"
"MPEG-Videodatei";"video/mpeg";"mpeg"
"JavaScript-Datei";"application/javascript";"js"
"JSON-Datei";"application/json";"json"
"XML-Datei";"application/xml";"xml"
"HTML-Datei";"text/html";"html"
"CSS-Datei";"text/css";"css"
"JavaScript-Datei";"text/javascript";"js"
"Python-Skript";"application/x-python";"py"
"PHP-Datei";"application/x-httpd-php";"php"
"Shell-Skript";"application/x-sh";"sh"
"SQL-Datei";"application/sql";"sql"
"PKCS#12 Zertifikat";"application/x-pkcs12";"p12,pfx"
"PEM-Zertifikat";"application/x-pem-file";"pem"
"CA-Zertifikat";"application/x-x509-ca-cert";"crt,cer"
"PKCS#7-Zertifikatsdatei";"application/x-pkcs7-certificates";"p7b,p7c"
"PKCS#7-Zertifikatsanforderung";"application/x-pkcs7-certreqresp";"p7r"
"ZIP-Archiv";"application/zip";"zip"
"RAR-Archiv";"application/x-rar-compressed";"rar"
"7z-Archiv";"application/x-7z-compressed";"7z"
"GZIP-Datei";"application/gzip";"gz"
"TAR-Archiv";"application/x-tar";"tar"
"Binärdatei";"application/octet-stream";"bin,dat"
"SQLite-Datenbank";"application/x-sqlite3";"sqlite"
"Access-Datenbank";"application/x-msaccess";"mdb,accdb"
"CAB-Archiv";"application/vnd.ms-cab-compressed";"cab"
"ISO-Abbild";"application/x-iso9660-image";"iso"
"Windows-Programm";"application/x-msdownload";"exe"
"DOS/Windows-Programm";"application/x-dosexec";"exe"
"Java-Archiv";"application/x-java-archive";"jar"
YAML-Datei;application/yaml;yaml
YAML-Datei;application/yaml;yml
Markdown-Datei;text/markdown;md
Icon-Datei;image/vnd.microsoft.icon;ico
